,precision,recall,f1-score,support
CADILLAC CTS,0.824,0.609,0.7,23.0
AUDI A3,0.679,0.679,0.679,28.0
NISSAN 370Z,1.0,0.818,0.9,22.0
BMW X7,1.0,1.0,1.0,3.0
ASTON MARTIN DBS,1.0,0.667,0.8,12.0
LEXUS LC,0.571,1.0,0.727,4.0
CHEVROLET TAHOE,0.905,0.864,0.884,22.0
VOLKSWAGEN TIGUAN,0.875,0.875,0.875,16.0
BENTLEY CONTINENTAL GT,0.724,0.75,0.737,28.0
HYUNDAI SONATA,0.676,0.719,0.697,32.0
JEEP GLADIATOR,1.0,1.0,1.0,1.0
CHEVROLET IMPALA,0.579,0.846,0.688,13.0
NISSAN SENTRA,0.652,0.882,0.75,17.0
NISSAN NV200,1.0,1.0,1.0,4.0
DODGE GRAND CARAVAN,0.944,1.0,0.971,17.0
ACURA NSX,0.923,0.857,0.889,14.0
JEEP CHEROKEE,0.917,0.846,0.88,13.0
LEXUS UX,0.667,1.0,0.8,4.0
NISSAN FRONTIER,0.846,0.786,0.815,14.0
SUBARU WRX,0.895,0.773,0.829,22.0
BMW 8-SERIES,1.0,1.0,1.0,3.0
SUBARU LEGACY,0.75,0.462,0.571,26.0
HONDA INSIGHT,0.6,0.833,0.698,18.0
JAGUAR I-PACE,0.5,1.0,0.667,4.0
BENTLEY FLYING SPUR,0.8,0.889,0.842,18.0
VOLKSWAGEN PASSAT,0.75,0.577,0.652,26.0
VOLKSWAGEN GOLF,0.773,0.85,0.81,20.0
BMW Z4,0.864,0.679,0.76,28.0
LEXUS GX,0.9,1.0,0.947,9.0
MASERATI QUATTROPORTE,0.917,0.917,0.917,12.0
LINCOLN CORSAIR,0.857,1.0,0.923,6.0
BMW I8,0.8,1.0,0.889,4.0
JEEP COMPASS,0.769,0.769,0.769,13.0
HYUNDAI SANTA FE,0.9,0.429,0.581,21.0
VOLVO XC40,0.8,1.0,0.889,4.0
KIA STINGER,0.667,1.0,0.8,2.0
FERRARI GTC4LUSSO,1.0,1.0,1.0,1.0
KIA SORENTO,0.688,0.917,0.786,12.0
ALFA ROMEO STELVIO,1.0,1.0,1.0,4.0
VOLKSWAGEN ATLAS,0.727,1.0,0.842,8.0
HYUNDAI IONIQ,0.583,1.0,0.737,7.0
INFINITI Q70,0.913,1.0,0.955,21.0
LEXUS LX,0.737,0.933,0.824,15.0
NISSAN ROGUE SPORT,0.8,1.0,0.889,8.0
FORD FIESTA,0.727,0.593,0.653,27.0
FORD ECOSPORT,1.0,1.0,1.0,4.0
ROLLS-ROYCE PHANTOM,0.833,1.0,0.909,5.0
MERCEDES-BENZ GLB CLASS,0.8,1.0,0.889,8.0
MERCEDES-BENZ SL CLASS,0.696,0.842,0.762,19.0
INFINITI QX60,0.909,0.909,0.909,11.0
GENESIS G90,1.0,0.9,0.947,10.0
ACURA TLX,0.875,1.0,0.933,7.0
FIAT 500L,1.0,1.0,1.0,12.0
LAND ROVER DEFENDER,1.0,1.0,1.0,2.0
FIAT 500E,1.0,1.0,1.0,4.0
LINCOLN MKC,0.75,1.0,0.857,6.0
TOYOTA PRIUS C,0.5,0.778,0.609,9.0
MERCEDES-BENZ EQC,1.0,1.0,1.0,4.0
AUDI E-TRON,1.0,1.0,1.0,4.0
LEXUS NX,1.0,0.909,0.952,11.0
INFINITI QX80,0.8,1.0,0.889,8.0
HONDA PILOT,0.857,0.947,0.9,19.0
FIAT 500X,1.0,1.0,1.0,4.0
TOYOTA LAND CRUISER,0.909,0.909,0.909,11.0
AUDI Q8,0.9,1.0,0.947,9.0
ASTON MARTIN VANQUISH,0.9,1.0,0.947,9.0
TOYOTA SUPRA,0.6,1.0,0.75,3.0
MERCEDES-BENZ A CLASS,1.0,1.0,1.0,4.0
HONDA CLARITY,0.375,1.0,0.545,3.0
GENESIS G80,0.5,1.0,0.667,4.0
KIA SOUL EV,1.0,1.0,1.0,3.0
MERCEDES-BENZ AMG GT,0.714,1.0,0.833,5.0
BMW I3,1.0,1.0,1.0,17.0
ALFA ROMEO GIULIA,1.0,1.0,1.0,7.0
MERCEDES-BENZ GLA CLASS,0.769,0.909,0.833,11.0
HYUNDAI KONA,1.0,1.0,1.0,4.0
BUICK ENVISION,0.6,1.0,0.75,3.0
LAND ROVER RANGE ROVER VELAR,0.5,1.0,0.667,2.0
BUICK ENCORE,0.667,1.0,0.8,6.0
ALFA ROMEO 4C SPIDER,1.0,1.0,1.0,3.0
TOYOTA MIRAI,1.0,0.6,0.75,5.0
JAGUAR E-PACE,0.75,1.0,0.857,3.0
ROLLS-ROYCE CULLINAN,1.0,1.0,1.0,2.0
VOLVO V90,0.75,1.0,0.857,6.0
CHEVROLET BLAZER,1.0,1.0,1.0,7.0
TOYOTA 86,1.0,1.0,1.0,5.0
CADILLAC XT5,0.889,1.0,0.941,8.0
JAGUAR F-PACE,1.0,1.0,1.0,9.0
NISSAN KICKS,1.0,1.0,1.0,4.0
VOLVO S90,0.462,1.0,0.632,6.0
VOLKSWAGEN ARTEON,0.333,1.0,0.5,1.0
LAND ROVER DISCOVERY SPORT,0.667,1.0,0.8,6.0
BENTLEY BENTAYGA,0.75,0.75,0.75,4.0
BMW X2,1.0,1.0,1.0,3.0
TESLA MODEL 3,0.5,1.0,0.667,1.0
ROLLS-ROYCE DAWN,1.0,1.0,1.0,1.0
LINCOLN MKT,0.625,1.0,0.769,5.0
LEXUS RC,0.429,0.429,0.429,7.0
GENESIS G70,0.667,1.0,0.8,2.0
HYUNDAI KONA ELECTRIC,1.0,1.0,1.0,1.0
MASERATI LEVANTE,0.5,1.0,0.667,2.0
CADILLAC XT4,1.0,1.0,1.0,2.0
CADILLAC CT4,1.0,1.0,1.0,1.0
MAZDA CX-30,1.0,1.0,1.0,1.0
micro avg,0.796,0.796,0.796,5000.0
macro avg,0.815,0.856,0.822,5000.0
weighted avg,0.809,0.796,0.792,5000.0
